"","treeNumber","blocks","geo","pair","reps","origin","treeCondition","height","diameter"
"195",195,3,5,1,3,"Intro","",3.7,27
"196",196,3,5,1,4,"Intro","",3.2,12
"197",197,3,5,2,1,"Intro","",3,19
"198",198,3,5,2,2,"Intro","",2.7,12
"199",199,3,5,2,3,"Intro","",4,18
"200",200,3,5,2,4,"Intro","",3.2,17
"201",201,3,6,1,1,"Intro","",5.5,37
"202",202,3,6,1,2,"Intro","",3.4,31
"203",203,3,6,1,3,"Intro","",4,26
"204",204,3,6,1,4,"Intro","",4.3,30
"205",205,3,6,2,1,"Intro","",5.2,37
"206",206,3,6,2,2,"Intro","",5.6,32
"207",207,3,6,2,3,"Intro","",3.7,25
"208",208,3,6,2,4,"Intro","",3,21
"209",209,3,7,1,1,"Intro","",4.4,24
"210",210,3,7,1,2,"Intro","",4.3,20
"212",212,3,7,1,4,"Intro","",4,20
"213",213,3,7,2,1,"Intro","",3.5,19
"214",214,3,7,2,2,"Intro","",3.7,20
"217",217,3,8,1,1,"Intro","",4.3,25
"218",218,3,8,1,2,"Intro","",3.8,20
"219",219,3,8,1,3,"Intro","",4,18
"220",220,3,8,1,4,"Intro","",3.8,17
"221",221,3,8,2,1,"Intro","",4.3,29
"222",222,3,8,2,2,"Intro","",4.1,20
"223",223,3,8,2,3,"Intro","",4.1,36
"224",224,3,8,2,4,"Intro","",3.2,24
"225",225,3,9,1,1,"Intro","",4.3,28
"226",226,3,9,1,2,"Intro","",3.5,25
"228",228,3,9,1,4,"Intro","",2.9,15
"229",229,3,9,2,1,"Intro","",4.1,35
"230",230,3,9,2,2,"Intro","",4.1,23
"231",231,3,9,2,3,"Intro","",2.7,10
"233",233,3,10,1,1,"Nat","",5,38
"234",234,3,10,1,2,"Nat","",5.2,38
"236",236,3,10,1,4,"Nat","",4.7,32
"237",237,3,10,2,1,"Nat","",4.3,26
"238",238,3,10,2,2,"Nat","",2.9,12
"239",239,3,10,2,3,"Nat","",3.4,18
"240",240,3,10,2,4,"Nat","",3.2,12
